ensgene,Hipposideros armiger,Rhinolophus affinis,Myotis laniger,Miniopterus fuliginosus,Taphozous melanopogon,Cynopterus sphinx,Rousettus leschenaultia,Eonycteris spelaea
ENSMLUG00000005825,111.07,37.57,27.47,30.97,54.3,130.67,70.23,37.12
ENSMLUG00000006703,33.12,0,0,26.4,0,32.36,0,0
ENSMLUG00000012660,4.52,0,4.67,4.32,4.84,6.86,3.12,6.13
ENSMLUG00000001813,0,0,0,0,18.89,0,0,7.05
ENSMLUG00000012253,20.24,11.08,0,0,33.91,12.9,15.4,20.18
ENSMLUG00000003990,76.77,27.42,13.25,0,47.42,72.07,36.26,53.37
ENSMLUG00000008278,0,0,2.02,2.5,12.54,0,0,0
ENSMLUG00000002581,34.9,14.3,0,11.36,47.29,0,11.04,15.05
ENSMLUG00000004631,237.05,161.54,140.45,97.78,115.1,150.9,153.08,59.21
ENSMLUG00000003886,11.57,0,4.35,7.8,24.01,0,25.2,0
ENSMLUG00000012783,91.01,113.39,76.87,64.77,85.23,84.37,94.06,85.64
ENSMLUG00000004689,0,0,0,2.78,3.32,7.17,4.89,7.42
ENSMLUG00000010903,0,0,34.73,45.95,99.29,113.08,174.28,81.43
ENSMLUG00000005459,0,5.46,5.14,5.08,10.37,7,9.5,7.58
ENSMLUG00000002960,12.47,3.69,5.42,8.76,14.05,8.76,14.64,0
ENSMLUG00000008187,78.17,26.64,177.17,333.01,139.35,114.24,308.18,223.61
ENSMLUG00000009760,0,8.11,3.38,3.48,19.04,7,0,0
ENSMLUG00000013327,11.21,27.22,11.48,11.08,7.26,31.18,9.93,6.26
ENSMLUG00000013814,18.3,28.55,55.97,21.01,34.51,28.01,34.85,26.12
ENSMLUG00000025000,39.83,41.75,26.39,18.51,40.05,30.42,73.02,31.44
ENSMLUG00000002689,26.49,11.96,12.33,25.21,32.84,50.41,32.2,76.16
ENSMLUG00000007015,0,0,0,6.38,0,16.61,0,5.79
ENSMLUG00000010609,0,41.51,81.54,56.65,47.27,81.15,73.36,41.95
ENSMLUG00000002054,49.94,46.16,31.68,35.75,82.03,38.03,34.46,20.18
ENSMLUG00000009686,89.73,118.15,94.55,145.55,141.08,201.29,248.42,171.52
ENSMLUG00000007294,37.61,33.39,46.33,41.98,100.08,27.5,42.64,18.54
ENSMLUG00000003296,242.93,333.29,430.92,365.53,227.42,0,355.72,339.7
ENSMLUG00000025271,3.04,7.6,3.78,0,7.99,0,3.43,0
ENSMLUG00000012869,36.67,14.42,21.92,13.95,61.81,24.24,23.76,21.12
ENSMLUG00000014447,0,0,12.12,6.32,0,0,7.79,0
ENSMLUG00000022723,11.77,5.47,4.8,9.33,10.19,29.88,7.22,4.84
ENSMLUG00000008482,71.46,45.49,50.97,40.68,23.52,20.55,32.63,36.34
ENSMLUG00000004520,0,34.61,13.15,17.58,20.55,16.96,15.33,9.17
ENSMLUG00000012871,47.26,43.09,41.43,53.54,42.56,31.75,38.15,46
ENSMLUG00000013260,0,0,4.18,0,0,0,0,0
ENSMLUG00000005984,0,0,0,0,4.75,0,0,0
ENSMLUG00000005249,22.75,19.76,11.43,12.78,17.51,14.89,13.96,12.08
ENSMLUG00000004298,150.91,107.9,116.37,78.47,134.58,179.96,73.85,61.51
ENSMLUG00000008489,15.77,12.75,12.51,5.25,0,19.61,8.71,7.8
ENSMLUG00000024608,32.54,17.42,8.84,6.83,19.38,12.2,15.16,1.26
ENSMLUG00000000549,3.02,0,4.12,0,0,4.38,12.28,7.49
ENSMLUG00000002295,0,0,5.59,3.03,5.57,0,0,5.78
ENSMLUG00000027610,86.26,172,437.68,222.18,59,107.67,137.02,63.46
ENSMLUG00000023134,2.16,0,32,11.18,0,9.21,0,0
ENSMLUG00000008052,39.63,14.54,15.32,13.5,67.93,43.71,40.44,52.33
ENSMLUG00000013049,172.68,243.3,267.5,166.06,189.45,121.3,198.55,164.58
ENSMLUG00000010614,98.46,42.73,171.92,36.54,42.65,56.78,91.01,152.56
ENSMLUG00000014353,46.34,0,19.93,21.6,57.58,22.99,11.93,41.57
ENSMLUG00000017611,153.84,193.39,215.4,182.21,144.31,190.48,214.06,132.94
ENSMLUG00000002739,0,0,0,2.05,8.73,0,10.55,3.84
ENSMLUG00000008394,0,0,8.71,5.69,18.47,0,0,6.15
ENSMLUG00000015560,13.3,0,4.66,5.46,0,0,14.14,4.76
ENSMLUG00000010054,0,7.19,0,4.09,0,0,5.72,6.21
ENSMLUG00000012016,0,0,0,0,7.64,0,12.85,0
ENSMLUG00000013264,146.88,99.99,80.59,50.07,77.43,71.73,131.6,87.75
ENSMLUG00000027507,16.75,17.5,0,7.92,8.34,0,0,18.57
ENSMLUG00000010447,0,0,0,0,0,0,0,8.39
ENSMLUG00000029695,13.8,17.86,11.43,9.77,19.99,14.02,14.21,11.47
ENSMLUG00000005200,107.43,96.85,53.45,46.41,56.78,50.47,106.39,57.54
ENSMLUG00000011918,26.23,16.06,13.04,11.89,40.49,20.96,32.98,21.63
ENSMLUG00000012517,0,0,0,0,0,0,7.46,0
ENSMLUG00000002564,14.91,6.4,6.06,3.24,14.33,3.95,0,0.69
ENSMLUG00000000556,73.91,54.64,50.66,59.32,76.5,76.34,70.34,56.15
ENSMLUG00000009893,49.14,32.81,14.27,9.14,23.97,27.43,40.35,20.09
ENSMLUG00000007172,28.14,10.69,9.72,9.05,19.72,27.93,15.85,0
ENSMLUG00000009071,0,0,0,0,0,18.07,0,0
ENSMLUG00000014021,0,3.97,0,4.02,8.45,0,0,0
ENSMLUG00000013055,15.71,0,9.85,3.45,8.48,0,0,0
ENSMLUG00000013072,10.21,32.08,7.43,11.82,11.91,15.29,11.08,13.24
ENSMLUG00000003620,0,0,0,12.12,81.36,51.66,0,0
ENSMLUG00000025466,0,0,22.23,0,0,0,0,0
ENSMLUG00000013476,107.15,176.46,200.66,143.73,59.77,48.8,51.9,56.09
ENSMLUG00000013506,22.02,89.23,15.89,16.09,17.13,14.88,23.5,29.37
ENSMLUG00000008902,28.58,2.54,14.12,16.08,44.34,32.57,23.19,34.18
ENSMLUG00000017788,0,58.15,0,0,0,0,0,0
ENSMLUG00000003614,0,10.07,11.21,19.52,27.55,0,0,0
ENSMLUG00000011157,427.15,553,814.87,1183.43,1191.99,2302.76,1280.01,1373.61
ENSMLUG00000010478,0,0,3.04,5.52,0,19,0,0
ENSMLUG00000003410,17.25,21.53,19.14,27.37,31.61,33.11,28.34,23.64
